mean,std,skewness,kurtosis,energi,fase,label
1072.418,344.47015,0.91066265,1.6753125,20787038000.0,0.0,0
808.7862,384.25674,0.06992367,1.3900392,13136502000.0,0.014572818,0
549.54297,354.27866,-0.15074585,-0.4585399,7004338000.0,0.01744903,0
1141.1384,371.4491,0.5999154,1.6888626,23595766000.0,0.0,0
1203.0186,574.17786,-0.8222864,-0.07454156,29113285000.0,0.019750003,0
795.77673,478.5482,-0.30265057,-0.63895273,14127414000.0,0.0,0
896.2389,440.8593,0.35810244,-0.28057078,16344697000.0,0.0,0
652.8958,441.00775,0.5359862,-0.00621061,10170544000.0,0.011888351,0
626.0259,448.46124,0.42285568,-0.5170721,9716136000.0,0.0,0
1004.8406,350.34723,0.6789525,0.313768,18554024000.0,0.0,0
795.42316,559.1621,-0.13627133,-1.106132,15488782000.0,0.020133497,0
795.7996,573.00354,-0.12100207,-1.263494,15755348000.0,0.039308257,0
1142.1555,499.65314,0.2504031,-1.1014307,25463562000.0,0.0,0
944.87366,532.1197,0.002717224,-0.9534796,19266562000.0,0.0,0
867.9139,524.5374,-0.043936253,-1.1170441,16849536000.0,0.0,0
1204.1051,324.82007,-0.47408062,-0.19186978,25483299000.0,0.0,0
1307.4789,405.67737,-1.0353338,0.84995127,30704849000.0,0.0,0
1196.6686,416.5844,-0.9375216,0.6021858,26305468000.0,0.003259709,0
841.3344,371.32608,0.8227931,0.718723,13856385000.0,0.0,0
789.3292,380.87488,0.46749538,0.2887629,12584654000.0,0.0030679617,0
726.43585,397.02396,0.33212808,0.0119365705,11228562000.0,0.011696603,0
1271.3391,374.9505,-0.42499578,-0.79799014,28784904000.0,0.0,0
1437.5712,623.79297,-0.810584,-0.2861836,40234656000.0,0.013997574,0
1410.4565,640.6357,-0.5920199,-0.5998033,39318348000.0,0.017640779,0
1066.0332,340.8662,0.8073934,0.71505225,20522869000.0,0.0,0
1081.2585,622.6958,-0.42679912,-0.5906784,25507762000.0,0.018599518,0
1137.7662,669.9496,-0.4144205,-0.87237877,28562958000.0,0.030871363,0
1532.1268,378.9015,-0.282502,-0.51910526,40812200000.0,0.0,0
1529.891,761.5874,-0.9594771,-0.53923553,47850810000.0,0.0,0
1447.2235,672.42883,-0.9179661,-0.5703041,41723760000.0,0.0,0
1490.9491,424.92783,-0.7011377,-0.5634424,39378825000.0,0.0,0
1262.7738,347.6618,-0.7361383,-0.47249085,28106203000.0,0.0,0
1069.8073,646.6222,-0.6219237,-1.1459972,25601767000.0,0.026652915,0
1595.0914,358.53674,-0.79587495,0.119095206,43792224000.0,0.0,0
869.5312,607.39966,-0.44736275,-1.4081358,18432310000.0,0.030871363,0
1324.0106,841.36896,-0.6940576,-1.380748,40319484000.0,0.0,0
982.835,780.1269,0.054493777,-1.9336607,25797634000.0,0.0,0
1469.7559,511.53467,-0.5141456,-0.99081224,39679586000.0,0.0,0
1191.1753,639.246,-0.7513855,-0.9093632,29942315000.0,0.018983012,0
887.5819,426.52585,-0.69628733,-0.9086009,15887991000.0,0.0,0
1361.3114,478.30136,-0.3272263,-1.0431992,34110517000.0,0.0,0
914.8868,424.34293,-0.648538,-0.521494,16663916000.0,0.0,0
1337.0011,708.4938,-0.5892624,-0.99555725,37511750000.0,0.014956312,0
1400.8748,498.44656,-0.34892598,-0.7395552,36223370000.0,0.0,0
1343.5088,573.1782,-0.83280194,-0.4942667,34956070000.0,0.0,0
867.9368,536.67334,-0.5066687,-1.089518,17061193000.0,0.02722816,0
1452.1011,494.93375,-0.71755165,-0.3178501,38560674000.0,0.0,0
1034.0819,457.59262,-0.51705194,0.11483031,20950487000.0,0.0069029136,0
1069.6196,504.44232,-0.30779842,-0.07376266,22913812000.0,0.0036432045,0
1393.4346,525.71436,-0.13093035,-1.0276417,36340294000.0,0.0,0
1320.1063,675.28046,-0.6577938,-0.99807805,36023247000.0,0.0,0
1227.2048,549.41876,-0.7269611,-0.8628943,29620515000.0,0.0,0
1370.5769,607.6385,-0.4013836,-0.9719493,36826410000.0,0.0,0
1033.4321,537.26044,-0.012957614,-0.9288544,22227036000.0,0.0005752428,0
1153.9155,649.3445,-0.1625641,-1.081882,28723927000.0,0.0026844663,0
1400.8535,575.8822,-0.6675955,-0.65823126,37585400000.0,0.0,0
1452.1559,669.5589,-0.7373734,-0.64788413,41894965000.0,0.0,0
1468.191,870.46106,-0.75261277,-1.1582775,47731302000.0,0.019558255,0
1457.8248,530.2532,-1.101938,0.18169282,39426810000.0,0.0,0
1508.7782,590.3398,-1.1483184,0.22892772,43006570000.0,0.0,0
1625.8927,747.3174,-1.194241,-0.021693656,52461736000.0,0.0,0
1518.89,530.679,-0.9833333,-0.09864722,42412392000.0,0.0,0
1361.4845,584.07654,-0.98879415,-0.3214104,35959360000.0,0.0,0
1609.9031,653.4011,-0.998003,-0.4419473,49458725000.0,0.0,0
1533.1472,465.83957,-1.0334,0.23775259,42066690000.0,0.0,0
1283.1584,600.8295,-0.9408702,-0.36485383,32890743000.0,0.0,0
1108.1598,697.911,-0.60705596,-1.0996072,28100166000.0,0.039500006,0
1482.6978,532.5665,-0.7922111,-0.3682748,40665416000.0,0.0,0
1221.8646,527.1534,-1.045138,-0.14625761,29013506000.0,0.0055606803,0
985.0633,617.80817,-0.5713597,-1.2259191,22151768000.0,0.02473544,0
1287.3949,424.80585,-0.41230413,-0.49910253,30111260000.0,0.0,0
1324.3341,464.53104,-0.46948874,-0.51719,32270744000.0,0.0,0
1033.0835,635.20404,-0.26688173,-0.95185596,24096698000.0,0.020516993,0
1562.424,396.9257,-0.5314546,-0.70147645,42577404000.0,0.0,0
1432.8293,715.1836,-0.8635713,-0.72401327,42016563000.0,0.0,0
1182.6476,835.71954,-0.2516586,-1.7254068,34358598000.0,0.0,0
1157.5073,707.609,-0.69781303,-1.0836608,30155305000.0,0.025310682,0
1547.4769,402.86337,-0.5041309,-0.72745377,41893620000.0,0.0,0
1333.5302,620.1346,-0.949416,-0.42551425,35436460000.0,0.0,0
827.1102,613.77997,-0.27735752,-1.4949656,17380758000.0,0.036432043,0
1390.8402,467.2525,-0.22637075,-1.1040606,35270844000.0,0.0,0
1230.7137,623.73193,-0.4653713,-0.8990461,31190184000.0,0.020133497,0
1347.5638,664.4244,-0.5588834,-0.744026,36985050000.0,0.016490294,0
1039.8103,536.97345,0.19610788,-1.1425413,22438644000.0,0.0,0
730.95044,477.31158,0.323777,-0.99145037,12486490000.0,0.009970875,0
745.26044,465.37897,0.15807475,-1.1808022,12648296000.0,0.0,0
1300.2733,585.7204,-0.38010648,-1.0937731,33321435000.0,0.0,0
1325.1699,546.01324,-0.4211597,-0.9710913,33656110000.0,0.0,0
1325.8331,750.0232,-0.50028706,-1.0820494,38016918000.0,0.020900488,0
1333.379,867.5418,-0.42695123,-1.4016503,41460180000.0,0.026269421,0
1235.125,556.2555,0.20899975,-1.0543761,30063882000.0,0.0,0
1046.9575,542.67865,-0.066374004,-0.80113536,22783922000.0,0.0,0
1045.0269,709.4294,-0.103786595,-1.2091905,26138563000.0,0.020325245,0
857.9252,492.96448,-0.10128436,-1.0848712,16040748000.0,0.0,0
1428.4193,582.70746,-0.67964095,-0.7709066,38992770000.0,0.0,0
1320.6167,732.29816,-0.7099021,-0.96118236,37360260000.0,0.02147573,0
1113.3197,652.954,-0.54930776,-1.1031075,27292953000.0,0.02070874,0
1264.3718,833.54913,-0.5091328,-1.3569254,37575725000.0,0.02147573,0
1160.0902,443.81543,0.26703465,-0.46616736,25276928000.0,0.0,0
1218.3358,574.60645,-0.3500313,-0.36182213,29729008000.0,0.0,0
1562.1265,753.3347,-1.0016781,-0.33944482,49279013000.0,0.017640779,0
1194.4393,442.23718,0.33824846,-0.4997435,26579091000.0,0.0,0
1119.9813,504.58972,0.07293168,-0.39334625,24722950000.0,0.010737865,0
1108.4056,661.1381,-0.15658785,-0.7903255,27290284000.0,0.018791264,0
1740.4395,544.2944,-1.0555067,-0.11014429,54483120000.0,0.0,0
1934.0703,719.7373,-1.4667182,0.74055636,69773710000.0,0.0011504856,0
1540.3208,663.0189,-1.077535,-0.54790413,46074790000.0,0.0,0
1571.2377,462.7422,-0.2492048,-0.55389655,43956930000.0,0.0,0
1314.0765,664.88885,-0.45326135,-0.9726777,35534836000.0,0.0,0
1230.3209,828.37476,-0.31268096,-1.3103521,36043067000.0,0.018599518,0
1574.5176,445.88104,-0.4446044,-0.6887929,43874968000.0,0.0,0
1205.1855,590.9465,-0.7137741,-0.47617,29518890000.0,0.0120800985,0
1389.3204,662.3674,-0.8163113,-0.408911,38812740000.0,0.013230585,0
1578.6342,451.53455,-0.482765,-0.6837307,44170760000.0,0.0,0
1369.4858,613.4789,-0.7778436,-0.14011571,36894278000.0,0.0059441756,0
1392.4272,707.2135,-0.7662288,-0.45580402,39960650000.0,0.013997574,0
1636.474,487.3875,-0.87389123,-0.2785941,47769090000.0,0.0,0
1386.9435,394.14703,-0.85585594,0.085009396,34061748000.0,0.0,0
1665.3654,711.671,-1.4363356,0.6289906,53738164000.0,0.015339808,0
1651.2839,568.90686,-0.8502373,-0.15901828,49977647000.0,0.0,0
1563.0424,765.53766,-0.9172178,-0.47232246,49629580000.0,0.00958738,0
1361.906,610.3582,-1.0240251,-0.30875173,36492493000.0,0.0,0
1142.1747,402.75256,0.20519131,-0.3223008,24031605000.0,0.0,0
979.8505,631.5159,-0.3314295,-1.2347314,22264537000.0,0.0,0
968.4703,641.9872,-0.26097342,-1.116339,22119748000.0,0.017640779,0
1510.5934,525.106,-0.505013,-0.4601555,41904185000.0,0.0,0
1166.1649,685.0955,-0.29222563,-0.9316239,29971192000.0,0.01917476,0
1369.6698,698.20404,-0.4223991,-0.99133235,38723320000.0,0.0,0
1636.4858,612.36786,-0.7570892,-0.6388046,50021667000.0,0.0,0
1473.4767,495.34973,-1.0524238,-0.04636102,39592014000.0,0.0,0
1356.5271,374.23862,-1.1615855,0.39687622,32443930000.0,0.0,0
1546.255,559.8448,-0.8970614,-0.12419558,44307755000.0,0.0,0
1311.8458,445.1372,-1.3144453,0.42987755,31442313000.0,0.0,0
1099.0398,453.57745,-1.1290114,-0.2824494,23160766000.0,0.0,0
1717.7522,606.3097,-0.7582908,-0.37496993,54366760000.0,0.0,0
1638.7306,848.78076,-0.86791146,-0.74268943,55801720000.0,0.01514806,0
1642.2477,891.8484,-0.9430982,-0.7557337,57219002000.0,0.01994175,0
1283.0049,661.75055,-0.8523129,-0.87660325,34144510000.0,0.0,0
1444.8702,468.7432,-1.0201037,-0.19536118,37803954000.0,0.0,0
1381.7659,652.9253,-1.1213033,-0.22549586,38266280000.0,0.015723303,0
1346.5222,665.85596,-0.92860216,-0.75195587,36970270000.0,0.0,0
1570.776,563.67834,-0.94469094,-0.354931,45630595000.0,0.0,0
1601.1249,677.2783,-1.023871,-0.43383583,49517474000.0,0.0,0
1246.2977,559.36865,-1.13931,-0.10810337,30575022000.0,0.0,0
1242.8599,593.52997,-1.041842,-0.47274044,31080096000.0,0.0,0
1608.0437,550.4707,-1.0196002,0.06203451,47330470000.0,0.0,0
1242.5209,600.3205,-0.9521761,-0.70228827,31199111000.0,0.0,0
1383.3162,564.93823,-1.1917801,-0.13863789,36580864000.0,0.0,0
1490.1052,597.0721,-0.67438406,-0.8850338,42220070000.0,0.0,0
1397.1158,691.8017,-0.80700475,-0.79793066,39821677000.0,0.0,0
1264.6583,629.0646,-0.8020364,-0.6763597,32687438000.0,0.0,0
1598.9081,552.4608,-1.0134115,0.0056904308,46886420000.0,0.0,0
1643.3607,719.2447,-1.2138628,0.15525982,52722848000.0,0.011888351,0
1442.818,685.8782,-1.1270893,-0.29302245,41814470000.0,0.0,0
1445.2982,560.5862,-0.49706012,-0.7644707,39373110000.0,0.0,0
1125.8892,581.8458,-0.43693608,-0.84655243,26315506000.0,0.0,0
899.35736,501.41617,-0.3174118,-0.98623514,17371330000.0,0.0,0
1622.3906,476.25882,-1.0525893,0.41517946,46841426000.0,0.0,0
987.85675,417.3231,-0.6333735,0.28044808,18841920000.0,0.01035437,0
906.07556,427.39053,-0.22433873,0.08248802,16443565000.0,0.010546118,0
1556.9161,544.41547,-0.7503162,-0.2069111,44570640000.0,0.0,0
1130.0818,549.2318,-0.41715556,-0.6353538,25866082000.0,0.001917476,0
1127.6735,573.0694,-0.29345703,-0.7985861,26215318000.0,0.0005752428,0
1554.3035,540.56964,-0.7193741,-0.25025153,44369097000.0,0.0,0
1175.8168,657.10565,-0.5069487,-0.81859875,29726030000.0,0.01438107,0
1367.5991,765.9934,-0.68885297,-0.81522244,40256690000.0,0.015339808,0
1638.5907,717.07434,-0.95821947,-0.5678537,52415280000.0,0.0,0
1499.9688,547.27386,-0.6657833,-0.42551953,41769615000.0,0.0,0
846.80597,420.38873,-0.3428114,-0.4736763,14644134000.0,0.011313109,0
830.9713,504.62933,-0.07904593,-0.5530819,15485568000.0,0.017640779,0
1502.1127,554.5046,-0.428449,-0.6157785,42005590000.0,0.0,0
1463.1692,783.6741,-0.77005523,-0.7864128,45138070000.0,0.017065536,0
1030.2661,618.61505,-0.344917,-0.9878635,23660670000.0,0.01994175,0
1568.6478,507.41962,-0.7535607,-0.5013828,44533854000.0,0.0,0
1530.6846,655.73914,-0.9194761,-0.50780344,45432656000.0,0.0,0
1407.2385,725.0183,-0.9200656,-0.57928056,41057840000.0,0.01514806,0
1568.5184,484.16486,-0.6382527,-0.0894569,44149404000.0,0.0,0
1602.4725,723.97455,-1.1177915,0.062738076,50660270000.0,0.016106797,0
1671.1638,398.04865,-1.5802437,1.7394832,48352973000.0,0.0,0
1563.3071,594.9644,-1.5184925,0.7738164,45840990000.0,0.0,0
1426.7592,576.69293,-1.7066231,1.3859226,38800860000.0,0.013997574,0
1409.3142,493.7867,-0.96520275,0.039779082,36536190000.0,0.0,0
1036.4974,504.16867,-0.9152726,-0.2801432,21766357000.0,0.018791264,0
1366.0642,511.6231,-0.79055184,-0.40282738,34863340000.0,0.0,0
1075.6376,486.56885,-0.5680003,-0.89158183,22835124000.0,0.0,0
1457.4963,600.7364,-0.67019993,-0.60755193,40717185000.0,0.0,0
903.9578,501.53793,-0.3836623,-0.8024888,17509255000.0,0.016682042,0
1567.5984,571.1844,-0.75048167,-0.37316304,45606770000.0,0.0,0
1114.42,580.2196,-0.5476331,-0.5488558,25863567000.0,0.016682042,0
1483.4939,526.69745,-0.5131393,0.052924875,40602247000.0,0.0,0
1035.4321,514.9118,0.07654209,-0.21355532,21909565000.0,0.0040266993,0
1474.779,673.957,-0.39917803,-0.82248515,43076665000.0,0.0,0
1347.2715,793.76495,-0.45273486,-1.0474364,40062210000.0,0.017065536,0
1682.1914,484.74725,-1.0792001,0.35691872,50212827000.0,0.0,0
1211.5938,620.1117,-0.9745107,-0.4916712,30351327000.0,0.01840777,0
1646.1162,563.51636,-1.0955361,-0.16816968,49598450000.0,0.0,0
1279.0118,392.05106,-1.0090908,-0.06881571,29320403000.0,0.0,0
1513.0013,546.3417,-1.1572005,0.34245566,42396262000.0,0.0,0
1724.9186,745.12933,-1.3892308,0.46608886,57844724000.0,0.009970875,0
1576.8478,492.50266,-1.348075,1.2116792,44712063000.0,0.0,0
1487.5774,624.31964,-1.4325513,0.78516185,42642006000.0,0.011313109,0
1381.6587,709.58295,-0.9364956,-0.43366036,39526216000.0,0.0,0
1641.0192,573.47034,-0.9527234,-0.41645333,49509370000.0,0.0,0
1168.1364,595.6834,-0.92909175,-0.5442816,28170342000.0,0.016298546,0
1424.6251,672.7846,-0.36323288,-1.065188,40668295000.0,0.0,0
1199.4906,806.07526,-0.115379535,-1.3491213,34218560000.0,0.017257284,0
1228.8984,627.6553,-0.52303874,-1.3107617,31197469000.0,0.0,0
910.90314,588.29706,-0.37601393,-1.4072224,19264928000.0,0.014572818,0
1224.6006,628.57605,-0.5080184,-1.3326259,31043658000.0,0.0,0
1316.3503,906.1975,-0.49141598,-1.5335723,41844277000.0,0.02952913,0
1411.4232,638.11084,-0.69991785,-0.7981723,39310148000.0,0.0,0
1606.8547,810.73975,-1.0138022,-0.65852195,53072384000.0,0.0,0
1482.0813,832.06445,-0.9015191,-0.950493,47331676000.0,0.0,0
1387.2921,481.80725,-1.0923461,-0.08132463,35335664000.0,0.0,0
1340.3169,627.77374,-1.0544143,-0.19716011,35889960000.0,0.015915051,0
1607.5426,546.7195,-0.9824549,-0.13869637,47236633000.0,0.0,0
1542.755,762.2231,-1.0400411,-0.3895015,48514290000.0,0.016490294,0
1564.3064,801.63544,-1.0166155,-0.50157225,50621220000.0,0.01744903,0
1591.7767,555.75525,-0.9296498,-0.2879292,46573440000.0,0.0,0
1500.3651,650.6262,-0.8701729,-0.5346124,43817533000.0,0.0,0
1379.8267,564.8075,-0.71065265,-0.98685503,36420470000.0,0.0,0
992.59106,534.3558,-0.62602335,-1.0156795,20820345000.0,0.008245147,0
774.9499,461.58008,-0.48594514,-1.1800691,13330079000.0,0.017065536,0
1385.5616,563.2515,-0.7312645,-0.9503801,36651553000.0,0.0,0
1442.1365,810.5763,-0.71145207,-1.0781151,44839590000.0,0.015531556,0
1732.1481,545.3312,-1.4495728,0.7833082,54029894000.0,0.0,0
1796.5642,768.8964,-1.3145871,0.0074175475,62567950000.0,0.0,0
1553.3457,716.48395,-0.824245,-0.7959695,47943390000.0,0.0,0
1486.8826,847.4945,-0.7925185,-0.98748153,47989830000.0,0.013997574,0
1323.8407,508.4131,-0.5708379,-0.9361669,32948849000.0,0.0,0
1349.0197,665.7366,-0.58200234,-0.89217293,37077963000.0,0.011888351,0
1226.0853,516.3251,-0.8343869,-0.7413576,28997660000.0,0.0,0
989.6152,530.67145,-0.88024074,-0.80852914,20659410000.0,0.01840777,0
1224.6959,503.60904,-0.5678395,-1.1543124,28729379000.0,0.0,0
1344.5007,754.99304,-0.706154,-1.1164893,38956184000.0,0.018216021,0
1237.4503,328.0998,-1.0181801,0.26906484,26852272000.0,0.0,0
1285.3499,368.95804,-1.2839153,1.2101276,29298760000.0,0.0,0
1770.6427,565.69946,-0.84664464,-0.10717199,56609860000.0,0.0,0
1505.4441,773.104,-0.8897963,-0.6237881,46924624000.0,0.0,0
1399.4747,589.7742,-1.0346737,-0.41169134,37787455000.0,0.0,0
1707.2839,590.726,-0.7158552,-0.7741353,53473700000.0,0.0,0
1679.8138,760.10846,-0.9873284,-0.37662306,55698055000.0,0.0063276705,0
1677.0161,499.29156,-1.2289984,0.26009873,50162483000.0,0.0,0
1630.6243,602.8994,-1.2044396,0.3703929,49519383000.0,0.0,0
1414.8116,386.34357,-0.20576508,-1.0408976,35241222000.0,0.0,0
1178.453,454.63614,-0.6680909,-0.10462785,26139780000.0,0.006711166,0
1026.1632,343.8871,-0.07197439,-0.7171306,19190073000.0,0.0,0
749.7228,362.00043,-0.43701798,-0.4617719,11356218000.0,0.015339808,0
722.1997,499.84622,-0.14538625,-1.2612994,12638924000.0,0.0,0
1553.2651,516.52985,-0.53290844,-0.7645866,43899875000.0,0.0,0
1611.1824,782.4507,-1.07952,-0.30754238,52562130000.0,0.0141893225,0
1008.5214,798.05756,-0.20882851,-1.6451492,27099322000.0,0.018024275,0
1556.7611,514.26215,-0.5401594,-0.7401113,44039710000.0,0.0,0
1424.842,558.1982,-0.33279765,-0.7707988,38367396000.0,0.0,0
1505.2472,477.9592,-0.42607552,-0.7778821,40865206000.0,0.0,0
1436.8735,621.5902,-0.84634024,-0.43465984,40156856000.0,0.0,0
1501.634,451.21167,-0.48803157,-0.4716852,40280010000.0,0.0,0
1032.6163,323.84415,-0.29622096,-0.105063275,19188474000.0,0.0,0
1208.8589,430.71866,-0.08473503,-0.63252306,26982130000.0,0.0,0
775.2432,488.84882,-0.25182578,-1.0772126,13762154000.0,0.0,0
1243.7609,381.46124,-0.21444573,-0.5874537,27729164000.0,0.0,0
1051.6042,546.03796,-0.5257636,-0.60744685,23003610000.0,0.0,0
842.0771,447.99026,-0.43268132,-0.5065101,14905984000.0,0.01744903,0
1461.0223,504.5367,-1.2074205,0.14416522,39143727000.0,0.0,0
1211.8417,571.3036,-1.1090448,-0.2512216,29408428000.0,0.0061359233,0
1380.9213,529.9595,-0.9263326,-0.50764215,35844923000.0,0.0,0
1043.0,422.20657,-0.7834721,-0.6701625,20743903000.0,0.0,0
1591.1129,464.25763,-0.6827201,-0.52752805,45009720000.0,0.0,0
1253.4857,568.60345,-0.96935225,-0.4163415,31040086000.0,0.0,0
890.3444,577.48584,-0.4922111,-1.3369838,18451710000.0,0.018599518,0
1435.0125,423.39658,-1.5682164,1.7044859,36676000000.0,0.0,0
1528.5402,521.7365,-1.5249346,1.4307163,42740023000.0,0.0,0
1756.2164,718.1385,-1.2826008,-0.040106162,58982710000.0,0.0,0
1386.5039,462.9864,-1.3195068,0.6529968,35008504000.0,0.0,0
826.20087,312.09665,-1.0375589,0.2941625,12779720000.0,0.0,0
1474.9623,400.61536,-1.2411282,0.8498092,38273130000.0,0.0,0
1440.212,585.17017,-1.3611841,0.6466681,39594144000.0,0.008628642,0
1639.3193,474.83524,-1.4241257,0.9527562,47723910000.0,0.0,0
1553.4241,657.995,-1.2785573,0.17935768,46630240000.0,0.0,0
1494.9233,428.2832,-0.42532963,-0.29647395,39620153000.0,0.0,0
1312.5654,554.60345,-0.8104646,0.092565574,33266287000.0,0.014764565,0
1499.768,557.45605,-0.42043307,-1.0508873,41944040000.0,0.0,0
